"cnty_fips","display_name","Value","theme_range"
41019,"""Douglas, (OR)""",389.2,"378.1 - 427.2 (645)"
41021,"""Gilliam, (OR)""",366.6,"93.8 - 378.0 (645)"
41027,"""Hood River, (OR)""",401.1,"378.1 - 427.2 (645)"
41029,"""Jackson, (OR)""",341.7,"93.8 - 378.0 (645)"
41031,"""Jefferson, (OR)""",390.3,"378.1 - 427.2 (645)"
41033,"""Josephine, (OR)""",373.9,"93.8 - 378.0 (645)"
41035,"""Klamath, (OR)""",429.6,"427.3 - 473.8 (643)"
41037,"""Lake, (OR)""",403.9,"378.1 - 427.2 (645)"
41039,"""Lane, (OR)""",356.6,"93.8 - 378.0 (645)"
41041,"""Lincoln, (OR)""",360.5,"93.8 - 378.0 (645)"
41043,"""Linn, (OR)""",423.8,"378.1 - 427.2 (645)"
41047,"""Marion, (OR)""",369.8,"93.8 - 378.0 (645)"
41051,"""Multnomah, (OR)""",385.1,"378.1 - 427.2 (645)"
41053,"""Polk, (OR)""",329.5,"93.8 - 378.0 (645)"
41055,"""Sherman, (OR)""",414.1,"378.1 - 427.2 (645)"
41057,"""Tillamook, (OR)""",364.6,"93.8 - 378.0 (645)"
41065,"""Wasco, (OR)""",418.5,"378.1 - 427.2 (645)"
41067,"""Washington, (OR)""",313.9,"93.8 - 378.0 (645)"
41069,"""Wheeler, (OR)""",423.2,"378.1 - 427.2 (645)"
41071,"""Yamhill, (OR)""",378.5,"378.1 - 427.2 (645)"
53007,"""Chelan, (WA)""",308.5,"93.8 - 378.0 (645)"
53009,"""Clallam, (WA)""",336.9,"93.8 - 378.0 (645)"
53011,"""Clark, (WA)""",368.6,"93.8 - 378.0 (645)"
53015,"""Cowlitz, (WA)""",437.7,"427.3 - 473.8 (643)"
53027,"""Grays Harbor, (WA)""",421.2,"378.1 - 427.2 (645)"
53029,"""Island, (WA)""",350.4,"93.8 - 378.0 (645)"
53031,"""Jefferson, (WA)""",335,"93.8 - 378.0 (645)"
53033,"""King, (WA)""",311.3,"93.8 - 378.0 (645)"
53035,"""Kitsap, (WA)""",400,"378.1 - 427.2 (645)"
53037,"""Kittitas, (WA)""",353.9,"93.8 - 378.0 (645)"
53039,"""Klickitat, (WA)""",327.4,"93.8 - 378.0 (645)"
